fiss,k,leap,score,dates
50,25,0,0.0,0
50,25,15,0.0,0
50,25,20,0.0,0
50,25,25,0.0,0
50,25,30,0.0028,2
50,50,0,0.077,1
50,50,15,0.002,2
50,50,20,0.0047,2
50,50,25,0.0066,2
50,50,30,0.0088,2
50,75,0,0.0657,1
50,75,15,0.003,2
50,75,20,0.0052,2
50,75,25,0.009,2
50,75,30,0.0109,2
50,100,0,0.0677,1
50,100,15,0.0029,2
50,100,20,0.0051,2
50,100,25,0.0089,2
50,100,30,0.011,2
75,25,0,0.0,0
75,25,15,0.0002,1
75,25,20,0.0,0
75,25,25,0.0,0
75,25,30,0.0,0
75,50,0,0.0816,1
75,50,15,0.0,0
75,50,20,0.0003,1
75,50,25,0.0024,2
75,50,30,0.0051,2
75,75,0,0.0448,1
75,75,15,0.0002,1
75,75,20,0.0024,2
75,75,25,0.0034,2
75,75,30,0.0052,2
75,100,0,0.0556,1
75,100,15,0.0002,1
75,100,20,0.0025,2
75,100,25,0.0041,2
75,100,30,0.0053,2
100,25,0,0.0,0
100,25,15,0.0005,1
100,25,20,0.0,0
100,25,25,0.0,0
100,25,30,0.0,0
100,50,0,0.0,0
100,50,15,0.0,0
100,50,20,0.0,0
100,50,25,0.0,0
100,50,30,0.0005,1
100,75,0,0.007,2
100,75,15,0.0002,1
100,75,20,0.0004,1
100,75,25,0.0024,2
100,75,30,0.0052,2
100,100,0,0.0448,1
100,100,15,0.0002,1
100,100,20,0.0024,2
100,100,25,0.0034,2
100,100,30,0.0052,2
125,25,0,0.0,0
125,25,15,0.0002,1
125,25,20,0.0,0
125,25,25,0.0,0
125,25,30,0.0,0
125,50,0,0.0,0
125,50,15,0.0,0
125,50,20,0.0,0
125,50,25,0.0,0
125,50,30,0.0021,2
125,75,0,0.0,0
125,75,15,0.0,0
125,75,20,0.0003,1
125,75,25,0.0036,2
125,75,30,0.009,2
125,100,0,0.0227,1
125,100,15,0.0002,1
125,100,20,0.0028,2
125,100,25,0.0044,2
125,100,30,0.0099,2
150,25,0,0.0,0
150,25,15,0.0017,1
150,25,20,0.0,0
150,25,25,0.0,0
150,25,30,0.0,0
150,50,0,0.0,0
150,50,15,0.0,0
150,50,20,0.0,0
150,50,25,0.0,0
150,50,30,0.0,0
150,75,0,0.0,0
150,75,15,0.0,0
150,75,20,0.0,0
150,75,25,0.0,0
150,75,30,0.002,1
150,100,0,0.0815,2
150,100,15,0.0002,1
150,100,20,0.0003,1
150,100,25,0.0039,2
150,100,30,0.0073,2

Cult: arawak | Start: 3000 | Site: resigaro | Veg: 0.0